ERP SKU,Description,Brand,CAS,PackSize,Last Direct Cost,Partner,Wholesales,Dealer,User,LinearFormula,FormulaWeight,Density,FlashPoint,MeltingPoint,BoilingPoint,UNNumber,HazardClass,PackingGroup,TariffCode,StorageConditions,Shipment,ShelfLifeMonths,Id
ALF-045478.22,"Carbon, activated, -20+40 mesh",THEM,,10g                      ,,7520,9030,9940,11440,,,,,,,,,,3802100090,Ambient,Air/Sea/Road,60,635420FF-433F-4E31-A527-BDC8D6D2B91C
ALF-045478.36,"Carbon, activated, -20+40 mesh",THEM,,25g,,1470,1770,1950,2250,,,,,,,,,,3802100090,Ambient,Air/Sea/Road,60,6FD3A955-CFAD-4E4E-B930-97953DAB613C
ALF-045478.A3,"Carbon, activated, -20+40 mesh",THEM,,100g,,3950,4740,5220,6010,,,,,,,,,,3802100090,Ambient,Air/Sea/Road,60,759338A4-A8AE-4A62-AB60-4E89015B9678
ALF-045479.AN,"Nitric acid, fuming, 98%",THEM,,500g,,17060,20480,22530,25910,,,1.5,,ca -50?,85?,2032,8,I,2808000000,Ambient,Air/Sea/Road,60,0B144237-7E7E-4E32-B124-2C4F1718E113
ALF-045480.AA,"Tin(IV) isopropoxide, 99% (metals basis), 10% w/v in isopropanol",THEM,,25g,,1280,1540,1700,1960,,,,,,,3274,3,II,3824999699,Ambient,Air/Sea/Road,36,585199C2-A23D-4800-AB9D-00E0DA8C6188
ALF-045480.AC,"Tin(IV) isopropoxide, 99% (metals basis), 10% w/v in isopropanol",THEM,,100g,,3500,4200,4620,5320,,,,,,,3274,3,II,3824999699,Ambient,Air/Sea/Road,36,BFAC2BAA-8B0F-407E-9114-3BF9CD119F17
ALF-045480.AE,"Tin(IV) isopropoxide, 99% (metals basis), 10% w/v in isopropanol",THEM,,500g,,15950,19140,21060,24220,,,,,,,3274,3,II,3824999699,Ambient,Air/Sea/Road,36,AAE4377A-6B71-4A8F-9B93-1A9CDEDA9D6E
ALF-045480.AP,"Tin(IV) isopropoxide, 99% (metals basis), 10% w/v in isopropanol",THEM,,1each,,27800,33360,36700,42210,,,,,,,3274,3,II,3824999699,Ambient,Air/Sea/Road,36,7C0240FC-F0FA-4EA8-AB27-AEA922497108
ALF-045481.06,"Tin pieces, Puratronic|r, 99.9999+% (metals basis)",THEM,,25g,,1330,1600,1760,2030,,,,,,,,,,8001100000,Ambient,Air/Sea/Road,60,00260849-A3D9-463E-8CFE-E5D84182C967
ALF-045481.14,"Tin pieces, Puratronic|r, 99.9999+% (metals basis)",THEM,,100g,,3610,4340,4780,5500,,,,,,,,,,8001100000,Ambient,Air/Sea/Road,60,FCF1C081-2075-4DF0-ADD0-F068BFE1084E
ALF-045481.22,"Tin pieces, Puratronic|r, 99.9999+% (metals basis)",THEM,,500g,,15610,18740,20620,23720,,,,,,,,,,8001100000,Ambient,Air/Sea/Road,60,B379B08D-851D-4FD7-8AC5-75D247C0D16E
ALF-045483.03,"Hafnium(IV) oxide, 99.995%, (metals basis excluding Zr), Zr typically <0.2%",THEM,,25g,,1340,1610,1780,2050,,,9.68,,2774?,,,,,2825908590,Ambient,Air/Sea/Road,60,9B3A9C25-25BE-4F66-8A95-A6CD6972E6EE
ALF-045483.06,"Hafnium(IV) oxide, 99.995%, (metals basis excluding Zr), Zr typically <0.2%",THEM,,100g,,3610,4340,4780,5500,,,9.68,,2774?,,,,,2825908590,Ambient,Air/Sea/Road,60,25EE9440-8452-4282-9B37-BCF36DA9BFD5
ALF-045484.KF,"Ruthenium cubes, 6mm (0.24in) square, 99.9% (metals basis)",THEM,,500g,,15950,19140,21060,24220,,,,,,,,,,7110490000,Ambient,Air/Sea/Road,360,D2D446F5-50FE-44D6-971D-AF9E253B409E
ALF-045485.BU,"Titanium wire, 1.0mm (0.04in) dia, hard, 99.99% (metals basis)",THEM,,25g,,1250,1500,1650,1900,,,,,,,,,,8108903090,Ambient,Air/Sea/Road,360,EF85F261-D9C5-40BF-8BD5-7D45891C92BE
ALF-045485.BY,"Titanium wire, 1.0mm (0.04in) dia, hard, 99.99% (metals basis)",THEM,,100g,,3570,4290,4720,5430,,,,,,,,,,8108903090,Ambient,Air/Sea/Road,360,4F61A0B1-1FA3-401D-8B10-DB64C07B645C
ALF-045485.CC,"Titanium wire, 1.0mm (0.04in) dia, hard, 99.99% (metals basis)",THEM,,500g,,15160,18200,20020,23030,,,,,,,,,,8108903090,Ambient,Air/Sea/Road,360,FA326DBB-6799-4514-9677-4F45094E042C
ALF-045486.KT,"Zinc oxide substrate, 10x10x0.5mm, polished one side, 0001 orientation",THEM,,25g,,1310,1580,1740,2010,,,,,,,3077,9,III,2817000000,Ambient,Air/Sea/Road,360,094BA232-FEF8-4F35-A4C1-53DB19A71DC8
ALF-045488.03,"Tris(1-methoxy-2-methyl-2-propoxy)bismuth, 99.99% (metals basis)",THEM,,100g,,3550,4260,4690,5400,,,,,70?,,,,,2909498000,Ambient,Air/Sea/Road,60,6E7829ED-3105-431A-8C25-1241F7B18CC8
ALF-045488.06,"Tris(1-methoxy-2-methyl-2-propoxy)bismuth, 99.99% (metals basis)",THEM,,500g,,16300,19560,21520,24750,,,,,70?,,,,,2909498000,Ambient,Air/Sea/Road,60,AA8DBB7E-5B3F-4320-9793-215C50B1E37E
ALF-045488.14,"Tris(1-methoxy-2-methyl-2-propoxy)bismuth, 99.99% (metals basis)",THEM,,25g,,1450,1740,1920,2210,,,,,70?,,,,,2909498000,Ambient,Air/Sea/Road,60,4750BBB5-2E6B-40C1-A77A-1A4C1B605139
ALF-045490.22,"Methyl cellulose, viscosity 15 cPs",THEM,,100g,,3610,4340,4780,5500,,,,,,,,,,3912398590,Ambient,Air/Sea/Road,60,1E2C49C6-0F7D-408B-9039-4E2F3758499E
ALF-045490.36,"Methyl cellulose, viscosity 15 cPs",THEM,,500g,,15610,18740,20620,23720,,,,,,,,,,3912398590,Ambient,Air/Sea/Road,60,090256C1-F731-4EF1-9663-6FFE3475AA68
ALF-045490.A4,"Methyl cellulose, viscosity 15 cPs",THEM,,25g,,1260,1520,1680,1940,,,,,,,,,,3912398590,Ambient,Air/Sea/Road,60,F3F1693F-0BDF-4568-A359-F57C7F435860
ALF-045492.FF,"Nitinol foil, 0.05mm (0.002in) thick, superelastic, flat annealed, pickled surface",THEM,,100g,,3450,4140,4560,5250,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,656F139A-E8CF-4D25-A7AD-9E124955F321
ALF-045492.FI,"Nitinol foil, 0.05mm (0.002in) thick, superelastic, flat annealed, pickled surface",THEM,,500g,,14440,17330,19070,21940,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,0A4B40C4-DE73-4724-ADEB-809EE1CE6263
ALF-045492.GH,"Nitinol foil, 0.05mm (0.002in) thick, superelastic, flat annealed, pickled surface",THEM,,25g,,1350,1620,1790,2060,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,0D2761E9-E758-44BF-8917-5AA9A5E82958
ALF-045494.06,Silver(I) behenate,THEM,,100g,,3330,4000,4400,5060,,,,,dec.,,,,,2843290000,Ambient,Air/Sea/Road,60,4BEA849D-7852-408E-B69D-EB1A14735643
ALF-045494.14,Silver(I) behenate,THEM,,500g,,15800,18960,20860,23990,,,,,dec.,,,,,2843290000,Ambient,Air/Sea/Road,60,5843910C-2322-41DD-8B90-BF3CEBFF4A22
ALF-045495.06,"Silver(I) chromate, 99.9% (metals basis)",THEM,,25g,,1350,1620,1790,2060,,,5.63,,,,1479,5.1,III,2843290000,Ambient,Air/Sea/Road,60,EE6976C9-3FD2-44A3-ACDF-838FC4C8A277
ALF-045495.22,"Silver(I) chromate, 99.9% (metals basis)",THEM,,100g,,3680,4420,4870,5610,,,5.63,,,,1479,5.1,III,2843290000,Ambient,Air/Sea/Road,60,B517D69B-1B5A-4450-8E31-E3FE035EE2CC
ALF-045496.06,Silver(I) citrate hydrate,THEM,,500g,,16450,19740,21720,24980,,,,,170? dec.,,,,,2843290000,Ambient,Air/Sea/Road,36,7A8C8BA9-EF12-488E-B17D-61239FB1F696
ALF-045496.14,Silver(I) citrate hydrate,THEM,,25g,,1250,1500,1650,1900,,,,,170? dec.,,,,,2843290000,Ambient,Air/Sea/Road,36,9299EDB3-33B6-40FC-B1BB-521CEEAB2ECC
ALF-045496.22,Silver(I) citrate hydrate,THEM,,100g,,3420,4110,4530,5210,,,,,170? dec.,,,,,2843290000,Ambient,Air/Sea/Road,36,EF43B5F5-AC3A-41C7-9873-B95DD5C384F6
ALF-045498.06,"Nickel sulfide, 99% (metals basis)",THEM,,500g,,14970,17970,19770,22740,,,,,,,3077,9,III,2830908500,Ambient,Air/Sea/Road,60,EC680ABE-7FBB-4BAD-BED1-5194B13DB8BA
ALF-045499.06,"Palladium, 5% on activated carbon paste, A405032-5",THEM,,25g,,1470,1770,1950,2250,,,,,,,,,,3815120090,Ambient,Air/Sea/Road,60,036B8B3B-DAE5-4841-A3DF-9825B04179EA
ALF-045499.14,"Palladium, 5% on activated carbon paste, A405032-5",THEM,,100g,,3950,4740,5220,6010,,,,,,,,,,3815120090,Ambient,Air/Sea/Road,60,14198FF0-73BD-4E03-9D37-BF492B0E0066
ALF-045499.22,"Palladium, 5% on activated carbon paste, A405032-5",THEM,,500g,,17060,20480,22530,25910,,,,,,,,,,3815120090,Ambient,Air/Sea/Road,60,D91D8F99-BC6E-491B-8C95-77251B481A1F
ALF-045500.06,Bismuth 2-ethylhexanoate                                    acid,THEM,,25g,,1340,1610,1780,2050,,,,,,,,,,3824999699,Ambient,Air/Sea/Road,60,D9D25CED-747E-4232-A263-4A40BE820DFC
ALF-045500.14,Bismuth 2-ethylhexanoate                                    acid,THEM,,100g,,3620,4350,4790,5510,,,,,,,,,,3824999699,Ambient,Air/Sea/Road,60,2ED42625-CB63-443D-84F2-394477B5BC64
ALF-045500.22,Bismuth 2-ethylhexanoate                                    acid,THEM,,500g,,15460,18560,20420,23490,,,,,,,,,,3824999699,Ambient,Air/Sea/Road,60,BA1694BD-9A28-4F8E-864F-9228E9F69E5F
ALF-045504.06,"Copper nanopowder, APS 20-50nm, 99.9% (metals basis)",THEM,,25g,,1330,1600,1760,2030,,,,,,,3089,4.1,III,7406100000,Ambient,Air/Sea/Road,60,C8BDC7A7-BF45-4E55-94BC-F309D573E7E8
ALF-045504.14,"Copper nanopowder, APS 20-50nm, 99.9% (metals basis)",THEM,,100g,,3610,4340,4780,5500,,,,,,,3089,4.1,III,7406100000,Ambient,Air/Sea/Road,60,CF7584A5-55AE-4B72-99CE-DDCF54038739
ALF-045505.06,"Nickel nanopowder, APS 5-20nm, 99.9% (metals basis)",THEM,,500g,,13980,16780,18460,21230,,,,,,,3089,4.1,III,7504000000,Ambient,Air/Sea/Road,60,D41E1745-85EF-4D0F-8D5C-4C7B1677E218
ALF-045505.14,"Nickel nanopowder, APS 5-20nm, 99.9% (metals basis)",THEM,,25g,,1350,1620,1790,2060,,,,,,,3089,4.1,III,7504000000,Ambient,Air/Sea/Road,60,0B305DC1-9105-4199-9FEE-131711C474DE
ALF-045507.06,"Iron nanopowder, APS 10-30nm",THEM,,100g,,3680,4420,4870,5610,,,,,,,3089,4.1,III,7205290000,Ambient,Air/Sea/Road,60,1571F3F8-5264-4873-B358-F19E78583CA7
ALF-045507.14,"Iron nanopowder, APS 10-30nm",THEM,,500g,,15880,19060,20970,24120,,,,,,,3089,4.1,III,7205290000,Ambient,Air/Sea/Road,60,B151DA11-B457-498B-90F8-32D552DB5F03
ALF-045508.06,"Manganese nanopowder, APS 30-50nm",THEM,,25g,,1350,1620,1790,2060,,,,,,,3089,4.1,III,8111001199,Ambient,Air/Sea/Road,60,358F5924-7935-49F0-8D0A-700C5E8CC9C5
ALF-045508.14,"Manganese nanopowder, APS 30-50nm",THEM,,100g,,3650,4380,4820,5550,,,,,,,3089,4.1,III,8111001199,Ambient,Air/Sea/Road,60,6889A0D5-2889-4033-B130-1C0C47075C91
ALF-045509.06,"Silver nanopowder, APS 20-40nm, 99.9% (metals basis)",THEM,,500g,,15800,18960,20860,23990,,,,,,,3077,9,III,7106100000,Ambient,Air/Sea/Road,60,FC6E09CD-C519-4177-B967-000744F79DD0
ALF-045509.14,"Silver nanopowder, APS 20-40nm, 99.9% (metals basis)",THEM,,25g,,1350,1620,1790,2060,,,,,,,3077,9,III,7106100000,Ambient,Air/Sea/Road,60,A49A8F3F-EFA8-4DCE-89CA-32C4729930DE
ALF-045511.03,"Dichlorobis[di-tert-butyl(4-dimethylaminophenyl)phosphine]palladium(II), Pd 15%",THEM,,100g,,3680,4420,4870,5610,,,,,,,,,,2843909000,Ambient,Air/Sea/Road,60,804DD082-6DE9-487B-8BA7-2C7D0E78D715
ALF-045512.NB,"Palladium(II) nitrate, solution, Pd 4-5% w/w (cont. Pd)",THEM,,500g,,15650,18780,20660,23760,,,,,,,3264,8,III,2843909000,Ambient,Air/Sea/Road,60,2D7682AE-9206-4857-B914-96758D5FC92F
ALF-045512.ND,"Palladium(II) nitrate, solution, Pd 4-5% w/w (cont. Pd)",THEM,,25g,,1440,1730,1910,2200,,,,,,,3264,8,III,2843909000,Ambient,Air/Sea/Road,60,3CDA2399-BF8E-4CB1-8966-5DCC0E5AAC96
ALF-045514.FF,"Nitinol foil, 0.127mm (0.005in) thick, shape memory, flat annealed, pickled surface",THEM,,100g,,3560,4280,4710,5420,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,86ED76F6-6C8B-4C76-B95A-482D254349E0
ALF-045514.FI,"Nitinol foil, 0.127mm (0.005in) thick, shape memory, flat annealed, pickled surface",THEM,,500g,,15880,19060,20970,24120,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,DAD4CEF9-571B-4270-8D44-CC0A37424644
ALF-045514.GH,"Nitinol foil, 0.127mm (0.005in) thick, shape memory, flat annealed, pickled surface",THEM,,25g,,1440,1730,1910,2200,,,,,,,,,,7506200000,Ambient,Air/Sea/Road,360,8BF118C8-A3A9-4C0A-9382-BC1D9E63E0A3
ALF-045517.06,"Magnesium germanide, 99.99% (metals basis)",THEM,,100g,,3560,4280,4710,5420,,,,,,,,,,2842908080,Ambient,Air/Sea/Road,60,C878100A-EE71-45AF-999D-C8EB07C6F7B9
ALF-045517.14,"Magnesium germanide, 99.99% (metals basis)",THEM,,500g,,15120,18150,19970,22970,,,,,,,,,,2842908080,Ambient,Air/Sea/Road,60,AD8C6E0F-1542-4A44-8745-DB65D4BCFD0E
ALF-045518.09,"Magnesium silicide, 99.99% (metals basis)",THEM,,25g,,1280,1540,1700,1960,,,2,,1102?,,2624,4.3,II,2850006090,Ambient,Air/Sea/Road,60,31414600-A081-40BE-9300-8C897757145B
ALF-045518.18,"Magnesium silicide, 99.99% (metals basis)",THEM,,100g,,3680,4420,4870,5610,,,2,,1102?,,2624,4.3,II,2850006090,Ambient,Air/Sea/Road,60,5EB6C20F-E18B-4A80-BE27-901C58B9004C
ALF-045518.30,"Magnesium silicide, 99.99% (metals basis)",THEM,,500g,,16980,20380,22420,25790,,,2,,1102?,,2624,4.3,II,2850006090,Ambient,Air/Sea/Road,60,0E632C6D-7970-4B00-BC1E-494A6A8835DD
ALF-045520.22,"Methyl 4-aminosalicylate, 97%",THEM,,250g,,2050,2460,2710,3120,,,,,,,,,,2922500090,Ambient,Air/Sea/Road,120,A972B141-5E18-48F0-9D7A-AA58E9724AD6
ALF-045522.06,"Arsenic(III) sulfide, 99.999% (metals basis)",THEM,,1kg,,6120,7350,8090,9310,,,3.43,,300?,707?,1557,6.1,III,2813909000,Ambient,Air/Sea/Road,60,A06584A9-BBB3-4BF5-9DB4-98FD6EDCBA33
ALF-045522.14,"Arsenic(III) sulfide, 99.999% (metals basis)",THEM,,100g,,1220,1470,1620,1870,,,3.43,,300?,707?,1557,6.1,III,2813909000,Ambient,Air/Sea/Road,60,A41707BC-3E4A-46C5-9CC4-A34299EF8277
ALF-045523.03,"Bis(1,5-cyclooctadiene)rhodium(I) hexafluoroantimonate",THEM,,500g,,3200,3840,4230,4870,,,,,,,3077,9,III,2843909000,Ambient,Air/Sea/Road,120,F485BE16-69CF-4B9E-BBD1-69D4D741F201
ALF-045523.MD,"Bis(1,5-cyclooctadiene)rhodium(I) hexafluoroantimonate",THEM,,100g,,3420,4110,4530,5210,,,,,,,3077,9,III,2843909000,Ambient,Air/Sea/Road,120,4059FA2A-DF94-4ED9-A4C5-EA3684B482AC
ALF-045524.KT,"Rhenium slug, 12.7mm (0.5in) dia, 99.99% (metals basis)",THEM,,500g,,10300,12360,13600,15640,,,,,,,,,,8112923100,Ambient,Air/Sea/Road,360,94948EDC-1AFE-479B-AE15-13D9A5FD806D
ALF-045525.06,"Indium(III) fluoride, anhydrous, 99.95% (metals basis)",THEM,,2.5kg,,37140,44570,49030,56390,,,4.39,,ca 1170?,>1200?,3260,8,III,2826199090,Ambient,Air/Sea/Road,60,506DDEC7-84C3-482F-B931-BC2B747F1ABC
ALF-045525.14,"Indium(III) fluoride, anhydrous, 99.95% (metals basis)",THEM,,25g,,3300,3960,4360,5020,,,4.39,,ca 1170?,>1200?,3260,8,III,2826199090,Ambient,Air/Sea/Road,60,21705E63-BB27-47AA-B23D-4572B945C142
ALF-045526.22,"Devarda's Alloy, granular",THEM,,100g,,10560,12680,13950,16050,,,4.355,,,,3089,4.1,III,7403290000,Ambient,Air/Sea/Road,120,29E1B257-2D9A-46E7-86E5-26D859FB7FF5
ALF-045526.36,"Devarda's Alloy, granular",THEM,,1each,,31560,37880,41670,47930,,,4.355,,,,3089,4.1,III,7403290000,Ambient,Air/Sea/Road,120,D185AC23-C9D6-43AB-8AA4-C466FA2D7631
ALF-045527.30,"Carbon black, acetylene, 100% compressed",THEM,,250g,,2220,2670,2940,3390,,,,,,,,,,2803000000,Ambient,Air/Sea/Road,60,3DC0BCCE-EB2A-4713-9A62-7FCB75CBCD75
ALF-045527.95,"Carbon black, acetylene, 100% compressed",THEM,,1kg,,7180,8620,9490,10920,,,,,,,,,,2803000000,Ambient,Air/Sea/Road,60,C7EFA425-261A-498E-82BD-BE913853AA29
ALF-045529.KG,"Gadolinium ingot, 99.9% (REM)",THEM,,250g                     ,,1980,2380,2620,3020,,,,,,,,,,2805303015,Ambient,Air/Sea/Road,60,046DE722-5523-4E27-BAC5-9BD8C6C9B1F9
ALF-045531.03,"2,3,4,6-Tetra-O-benzyl-D-galactopyranose, 98%",THEM,,100mg,,5440,6530,7190,8270,,,,,,,,,,2940000080,Freezer -20?C,Air/Sea/Road,36,12540FC8-02DA-4E5D-9A32-D8DB42499B0C
ALF-045531.06,"2,3,4,6-Tetra-O-benzyl-D-galactopyranose, 98%",THEM,,500mg,,23320,27990,30790,35410,,,,,,,,,,2940000080,Freezer -20?C,Air/Sea/Road,36,EB00E82A-52EE-4EAA-94C3-508E7F0ABFC0
ALF-045538.04,"Rhenium(VII) oxide, 99.995% (metals basis)",THEM,,25g,,30270,36330,39970,45970,,,6.103,,297?,360?,,,,2825908590,Ambient,Air/Sea/Road,60,930B35D3-ED80-443F-93DF-791004B958F7
ALF-045538.09,"Rhenium(VII) oxide, 99.995% (metals basis)",THEM,,5g,,9080,10900,11990,13790,,,6.103,,297?,360?,,,,2825908590,Ambient,Air/Sea/Road,60,E4F6E48A-4BB6-423D-85EF-D9FB53AD180C
ALF-045541.KF,"Boron Nitride Bar;Length (mm), 300;Width (mm), 6.4;Height (mm), 6.4",THEM,,25g,,36950,44340,48780,56100,,,,,,,,,,2850002090,Ambient,Air/Sea/Road,120,BBB3101A-26A2-4287-AFB2-C5E8C3488889
ALF-045542.36,"Sulfuric acid, 15% fuming, 12-17% free SO3",THEM,,25g,,59550,71460,78610,90410,,,1.9,,,,1831,8,I,,Ambient,Air/Sea/Road,60,42591A43-4B2E-467E-A7E9-B24CAAFB7B25
ALF-045543.22,"Sulfuric acid, 20% fuming, 18-24% free SO3",THEM,,1each,,17970,21570,23730,27290,,,1.9,,,,1831,8,I,2807000000,Ambient,Sea/Road,60,D35490D8-E7C7-4DDD-9FB7-D26D34A40B3D
ALF-045543.36,"Sulfuric acid, 20% fuming, 18-24% free SO3",THEM,,1g,,34070,40890,44980,51730,,,1.9,,,,1831,8,I,2807000000,Ambient,Sea/Road,60,83B388FE-D54B-480D-A5E8-0E14B1614EA2
